iter	Logloss
130	0.4714785982
131	0.4708720888
132	0.4704763429
133	0.4699937326
134	0.4696599351
135	0.4689126386
136	0.468487941
137	0.4680962041
138	0.4676695347
139	0.4669646151
140	0.4664636841
141	0.4658758174
142	0.4655102019
143	0.4650210928
144	0.4645610447
145	0.4642482793
146	0.4639382824
147	0.4633974114
148	0.4629522242
149	0.462411626
150	0.4620929035
151	0.4615860478
152	0.4610763272
153	0.4604098605
154	0.4601279551
155	0.4596325947
156	0.4592541521
157	0.4586937931
158	0.4582567045
159	0.4578504077
160	0.4574165505
161	0.4569352127
162	0.4564201223
163	0.4561630776
164	0.4551377281
165	0.4546918208
166	0.4541762519
167	0.4536940387
168	0.4534566902
169	0.4529121113
170	0.4526243658
171	0.4522659236
172	0.4517654088
173	0.4512788037
174	0.4506739772
175	0.4500008478
176	0.4492993973
177	0.4484083814
178	0.4481341581
179	0.44779053
180	0.447333823
181	0.4466532223
182	0.4463703863
183	0.4460476336
184	0.4454015977
185	0.4447828674
186	0.4441624541
187	0.4435452474
188	0.4428805964
189	0.4424893375
190	0.4419413004
191	0.4414499474
192	0.4408787987
193	0.4403976494
194	0.4397037269
195	0.4392595653
196	0.4390971356
197	0.4386410229
198	0.4381852843
199	0.4377399566
200	0.4370803477
201	0.4363260619
202	0.4359803984
203	0.4353926299
204	0.4348720212
205	0.4341349607
206	0.4337065138
207	0.433220155
208	0.4329899755
209	0.4319690693
210	0.4313942372
211	0.4310687782
212	0.4303230114
213	0.4296947223
214	0.4288638748
215	0.4285007856
216	0.4280563009
217	0.4275913675
218	0.4270871584
219	0.4265918092
220	0.4260592058
221	0.4254836316
222	0.4252856638
223	0.4247064362
224	0.4242404518
225	0.4235405136
226	0.4228429339
227	0.4224156179
228	0.4220912897
229	0.4218454399
230	0.4210669707
231	0.4203890226
232	0.4201534747
233	0.4196183702
234	0.418878701
235	0.4182571209
236	0.417899393
237	0.4171841003
238	0.4167734841
239	0.4160250514
240	0.4156671205
241	0.4151297881
242	0.4150602528
243	0.414439901
244	0.414135877
245	0.4134281678
246	0.413227674
247	0.4124846634
248	0.4117297944
249	0.4111547716
250	0.4109178142
251	0.4100574137
252	0.4093539816
253	0.4089825307
254	0.4085757226
255	0.4078871411
256	0.4074871547
257	0.4069790807
258	0.4063010524
259	0.4056647467
260	0.4050630612
261	0.4044727286
262	0.4041006111
263	0.4037831039
264	0.4029099671
265	0.402348292
266	0.4015603938
267	0.4010078061
268	0.4005744521
269	0.4001526759
270	0.3997623815
271	0.3992643925
272	0.3986269356
273	0.3981713637
274	0.3977684031
275	0.3969135586
276	0.3966064615
277	0.3962289073
278	0.3957056843
279	0.3949203576
280	0.3942591318
281	0.3939430104
282	0.3934058869
283	0.3930190773
284	0.3923215177
285	0.3914062525
286	0.39121569
287	0.3909091094
288	0.3903725171
289	0.3898264198
290	0.3896476912
291	0.3890345361
292	0.3880288157
293	0.3871158024
294	0.3863359408
295	0.3860102023
296	0.3858322378
297	0.3851748181
298	0.3849122639
299	0.3848093471
300	0.3847749199
301	0.3841341598
302	0.3839081794
303	0.3838221868
304	0.3833248655
305	0.3832643322
306	0.3827421239
307	0.3818967486
308	0.3813676617
309	0.3807509194
310	0.3804456639
311	0.3796443896
312	0.3791041128
313	0.3786974308
314	0.3782734353
315	0.3777993144
316	0.3771476256
317	0.3770516224
318	0.3765497909
319	0.3761422261
320	0.3760977308
321	0.3758622119
322	0.3752062018
323	0.3743375431
324	0.3737004326
325	0.3731117733
326	0.3727723871
327	0.3727339742
328	0.3720936408
329	0.3715746479
330	0.370916526
331	0.3701399808
332	0.3699342587
333	0.3692848666
334	0.3686471045
335	0.3679884728
336	0.3674894112
337	0.3671726604
338	0.3670477953
339	0.3665664511
340	0.3665172103
341	0.3663233704
342	0.3658165313
343	0.3651098408
344	0.3646318809
345	0.3643425444
346	0.3641090463
347	0.3635454137
348	0.3629296116
349	0.3627029507
350	0.3619913825
351	0.361355743
352	0.3607509235
353	0.3603265296
354	0.3601571559
355	0.3597238464
356	0.3587839704
357	0.3583422363
358	0.3583223758
359	0.3580398706
360	0.3578158838
361	0.3571458083
362	0.3569093489
363	0.356093489
364	0.3559172331
365	0.3554356189
366	0.3551271592
367	0.3545606626
368	0.3543908845
369	0.353589542
370	0.3529146647
371	0.3522828045
372	0.3516509194
373	0.3510475634
374	0.3502839504
375	0.3498085695
376	0.3493918984
377	0.3488459475
378	0.3482673841
379	0.3477091225
380	0.3472173996
381	0.3468367313
382	0.3462193936
383	0.3455539397
384	0.3455188868
385	0.344835136
386	0.3443383871
387	0.3436742377
388	0.343001254
389	0.3425105127
390	0.3422760107
391	0.3414636856
392	0.3408718621
393	0.3402464867
394	0.3401924786
395	0.3396256416
396	0.3396045135
397	0.339002433
398	0.3384160683
399	0.338382021
